AI Product Name.,Company,Imaging modality.,Subspeciality.,Clinical use.,FDA Classification.,Other product regulatory classification.,Other references.,Peer Review References.,Product CE Classification (MDD Class).,Product CE Classification (MDR Class).,Product output.,Regulated Intended purpose.,Suite name.,UK CA.,Which PACS systems is each product compatible with.,Which platforms is each product compatible with.,Which reporting worklist systems is each product compatible with.,ID
Imbio RV/LV,AIDOC,CT ,Cardiac,,,,,,,,,,,,,,,58b27608-5268-46cb-97c7-e2db4e8d145e
Briefcase Triage VO,AIDOC,CT,Neuro,Triage and Notification,,,https://virtual.oxfordabstracts.com/event/64280/submission/588,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of head CTA images in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive findings of complete Large Vessel Occlusion (LVO) - MCA-M1, PCA-P1, ACA-A1, ICA, Basilar; and Medium Vessel Occlusions (MeVO) - MCA-M2, MCA-proximal M3, PCA-P2, PCA-proximal P3, ACA-A2, ACA-proximal A3, and Vertebral-V4.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists. Appropriately trained medical specialists for VO are emergency physicians, radiologists, neurologists, neuro-surgeons, neuro-interventionalists, interventional radiologists, neuro intensive care physicians.""",Expert + Professional,IIa,All,Aidoc aiOS,All,b409581a-a896-43e1-919f-15918a49a9b6
Briefcase Triage RibFx,AIDOC,CT,"MSK, Trauma",Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of chest CTs (with or without contrast) in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communicating suspected positive cases of three and more acute Rib Fracture (RibFx) pathologies.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected RibFx findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for RibFx include Emergency physicians, radiologists, surgeons, traumatologists and pulmonologists.""",Expert + Professional,IIa,All,Aidoc aiOS,All,0d60eba5-d480-4e54-bec9-f4054988d9bf
Briefcase Triage AD,AIDOC,CT,Cardiovascular,Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of CT exams with contrast (CTA and CT with contrast) that include the chest in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive findings of Aortic Dissection (AD) pathology.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for Aortic Dissection are emergency physicians, radiologists, cardiologists, and interventional radiologists.""",Expert + Professional,IIa,All,Aidoc aiOS,All,7c290f0a-d930-4535-ac7c-10a2122cb7fe
Briefcase Triage BA,AIDOC,CT,Neuro,Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of head CT Angio (CTA) images. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive cases of Brain Aneurysm (BA) findings above 5 mm size.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and flag suspect cases on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for suspect cases. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for BA are Emergency physicians, radiologists, neurologists, neuro-surgeons, neuro-interventionalists, interventional radiologists, neuro intensive care physicians.""",Expert + Professional,IIa,All,Aidoc aiOS,All,6cdc3067-aa19-4ccd-8a14-8e6221a570bf
Briefcase Triage VCFx,AIDOC,CT,"MSK, Neuro",Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of chest and abdominal CT images. The device is intended to assist hospital networks and appropriately trained medical specialists within the standard-of-care bone health setting in workflow triage by flagging and communicating suspected positive cases of Vertebral Compression Fractures (VCFx) findings.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone application in parallel to the ongoing standard of care image interpretation. The device does not alter the original medical image and is not intended to be used as a diagnosis device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information, and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for Vertebral Compression Fractures are radiologists, neurosurgeons, general surgeons, orthopedic surgeons, MSK specialists, and interventional radiologists, within the bone health settings.""",Expert + Professional,IIa,All,Aidoc aiOS,All,f245350d-f0b6-49cb-909a-3435c9ba6555
Briefcase Triage Ptx,AIDOC,XR,"Trauma, Pulmonoloy, Critical care",Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of Chest X-Ray images in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive cases with Pneumothorax (Ptx) findings.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and flag suspect cases on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is notified for suspect cases. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for Ptx are emergency physicians, radiologists, pulmonologists, interventional radiologists, critical care physicians, internal medicine physicians.""",Professional,IIa,All,Aidoc aiOS,All,a2986aee-b142-40b6-95af-6497c802f605
Briefcase Triage ETT,AIDOC,XR,"Emergency, Critical care, Pulmonology, Anaesthetics",Triage and Notification,,,,,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of frontal chest X-ray (CXR) images in adults or transitional adolescents aged 18 and older. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communicating suspected positive cases of malpositioned endotracheal tube (ETT) in relation to the carina.
Findings are flagged when the ETT distal tip is assessed as being more than 5 cm above the carina, less than 2 cm above the carina, or when it is below the carina (i.e in the right or left mainstem bronchus). The device assesses solely the vertical position of the ETT distal tip relative to the carina, does not factor patient positioning, and cannot detect esophageal intubation. The device does not provide results when the carina is not well-visualized on the x-ray image. The device does not discriminate between types of ETTs, as such a properly positioned double lumen ETT may trigger a false prioritization alert.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on the user's professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for malpositioned ETT are Emergency physicians, radiologists, interventional radiologists, intensive care physicians, internal medicine physicians, pulmonologists and anesthesiologists.""",Professional,IIa,All,Aidoc aiOS,All,859352b8-cfc4-49cc-a465-97ac31828368
Briefcase Triage IFG,AIDOC,CT,"Emergency, Internal Medicine",Triage and Notification,,,,https://journals.lww.com/investigativeradiology/Abstract/2019/01000/Evaluation_of_an_AI_Based_Detection_Software_for.8.aspx,,IIa,"? Prioritization alert for BriefCase-Triage suspected positive cases.
? A preview image containing a compressed, low-quality, key slice of the original
DICOM image, captioned ��not for diagnostic use, for prioritization only��. The key
slice is the slice with the largest area of the suspected finding.
? Algorithm processing logs.","Intended Use:
""BriefCase-Triage is a radiological computer aided triage and notification software indicated for use in the analysis of abdominal CT images. The device is intended to assist hospital networks and appropriately trained medical specialists in workflow triage by flagging and communication of suspected positive findings of Intra-abdominal free gas (IFG) pathologies.
BriefCase-Triage uses an artificial intelligence algorithm to analyze images and highlight cases with the detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected findings. Notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification. The device does not alter the original medical image and is not intended to be used as a diagnostic device.
The results of BriefCase-Triage are intended to be used in conjunction with other patient information and based on their professional judgment, to assist with triage/prioritization of medical images. Notified clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Triage is intended to be used by appropriately trained medical specialists.
Appropriately trained medical specialists for IFG are Emergency physicians, radiologists, surgeons, internal medicine physicians.""",Professional,IIa,All,Aidoc aiOS,All,8e7151e5-ca07-4609-b8d9-439f499bfbf2
Briefcase Quantification MLS,AIDOC,CT,"Emergency, Neuro",Quantification,,,,,,IIa,"? Measurement/quantification results
? Additional information such as key slice, if applicable.","Intended Use:
""BriefCase-Quantification of Midline Shift (MLS) is a radiological image management and processing system software intended for automatic measurement of brain midline shift in non-contrast head CT (NCCT) images, in adults or transitional adolescents aged 18 years and older.
The device is intended to assist appropriately trained medical specialists by providing the user with an automated current manual process of measuring midline shift.
The device provides midline shift measurement from NCCT images acquired at a single time point, and can additionally provide an output with comparative analysis of two or more images that were acquired in the same individual at multiple time points.
The device does not alter the original medical image and is not intended to be used as a diagnostic device. The BriefCase-Quantification results are not intended to be used on a stand-alone basis for clinical decision-making or otherwise preclude clinical assessment of cases. Clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Quantification is intended to be used by appropriately trained medical specialists. Appropriately trained medical specialists for midline shift measurement include radiologists, emergency physicians, surgeons, interventionalists, and neurologists.""",Professional,IIa,All,Aidoc aiOS,All,2d2532b0-7870-4913-a499-299a16dc4c7f
Briefcase Quantification CAC,AIDOC,CT,Cardiac,Quantification,,,,,,IIa,"? Measurement/quantification results
? Additional information such as key slice, if applicable.","Intended Use:
""BriefCase-Quantification is a software intended for use in the analysis of non-cardiac-gated non-contrast CT (NCCT) images that include the heart in adult patients aged 30 and older.
The device is intended to assist physicians by providing the user with a four-category Coronary Artery Calcification (CAC) of plaques, which present a risk for coronary artery disease, together with preview axial images of the detected calcium meant for informational purposes only.
The BriefCase-Quantification results are not intended to be used on a stand-alone basis for clinical decision-making or otherwise preclude clinical assessment of cases. Clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Quantification is intended to be used by physicians, including radiologists, emergency physicians, surgeons, and cardiologists.""",Professional,IIa,All,Aidoc aiOS,All,7bffd427-3e98-453a-be8b-3be9f945dad3
Briefcase Quantification M-AbdAo,AIDOC,CT,"Emergency Department, Vascular, Cardiology",Quantification,,,,,,IIa,"? Measurement/quantification results
? Additional information such as key slice, if applicable.","Intended Use:
""BriefCase-Quantification is a radiological image management and processing system software indicated for use in the analysis of CT exams with contrast that include the abdominal aorta in adults or transitional adolescents aged 18 and older.
The device is intended to assist appropriately trained medical specialists by providing the user with the maximum abdominal aortic diameter measurement of cases that include the abdominal aorta (M-AbdAo). BriefCase-Quantification is indicated to evaluate normal and aneurysmal abdominal aortas and is not intended to evaluate post-operative aortas.
The BriefCase-Quantification results are not intended to be used on a stand-alone basis for clinical decision-making or otherwise preclude clinical assessment of cases. These measurements are unofficial, are not final, and are subject to change after review by a radiologist. For final clinically approved measurements, please refer to the official radiology report. Clinicians are responsible for viewing full images per the standard of care.""
Intended Users:
""The BriefCase-Quantification is intended to be used by appropriately trained medical specialists. Appropriately trained medical specialists for abdominal aortic measurement include emergency physicians, radiologists, vascular surgeons, cardiothoracic surgeons, and cardiologists).""",Professional,IIa,All,Aidoc aiOS,All,da8fa6f8-5d3d-496f-8c22-197308bc1463
qXR,Qure.AI,XR,Thoracic,,,,,,,IIb,,,,,,,,57152e3b-866e-4fe7-b030-98f502bb10b2
qCT,Qure.AI,CT ,Thoracic,,,,,,,,,,,,,,,a1b095c4-9b2b-41a6-8b4d-28f69e44f289
BoneXpert,Visiana,XR,MSK,,,,,,I,,,,,,,,,47908a05-4d3b-43f0-b5f2-caf65abea782
AI-Rad Companion MR Prostate,Siemens Healthineers,MRI,Prostate,,,,,,,IIb,,,,,,,,a286f910-a72f-4a9f-87a5-58da30880a12
